  0.00000000E+00  0.33861933E+04 -0.20198919E-12
  0.10000000E-01  0.33865374E+04  0.37470036E+01
  0.20000000E-01  0.33875636E+04  0.75383106E+01
  0.30000000E-01  0.33892533E+04  0.11417573E+02
  0.40000000E-01  0.33915761E+04  0.15427100E+02
  0.50000000E-01  0.33944908E+04  0.19607089E+02
  0.60000000E-01  0.33979464E+04  0.23994755E+02
  0.70000000E-01  0.34018837E+04  0.28623332E+02
  0.80000000E-01  0.34062367E+04  0.33520959E+02
  0.90000000E-01  0.34109345E+04  0.38709479E+02
  0.10000000E+00  0.34159033E+04  0.44203216E+02
  0.11000000E+00  0.34210685E+04  0.50007837E+02
  0.12000000E+00  0.34263563E+04  0.56119441E+02
  0.13000000E+00  0.34316957E+04  0.62524051E+02
  0.14000000E+00  0.34370202E+04  0.69197658E+02
  0.15000000E+00  0.34422695E+04  0.76106968E+02
  0.16000000E+00  0.34473905E+04  0.83210895E+02
  0.17000000E+00  0.34523385E+04  0.90462756E+02
  0.18000000E+00  0.34570776E+04  0.97812987E+02
  0.19000000E+00  0.34615815E+04  0.10521213E+03
  0.20000000E+00  0.34658333E+04  0.11261374E+03
  0.21000000E+00  0.34698255E+04  0.11997689E+03
  0.22000000E+00  0.34735594E+04  0.12726806E+03
  0.23000000E+00  0.34770441E+04  0.13446217E+03
  0.24000000E+00  0.34802961E+04  0.14154287E+03
  0.25000000E+00  0.34833378E+04  0.14850197E+03
  0.26000000E+00  0.34861965E+04  0.15533843E+03
  0.27000000E+00  0.34889031E+04  0.16205690E+03
  0.28000000E+00  0.34914907E+04  0.16866609E+03
  0.29000000E+00  0.34939935E+04  0.17517717E+03
  0.30000000E+00  0.34964459E+04  0.18160229E+03
  0.31000000E+00  0.34988810E+04  0.18795329E+03
  0.32000000E+00  0.35013300E+04  0.19424073E+03
  0.33000000E+00  0.35038216E+04  0.20047318E+03
  0.34000000E+00  0.35063812E+04  0.20665684E+03
  0.35000000E+00  0.35090308E+04  0.21279536E+03
  0.36000000E+00  0.35117886E+04  0.21889000E+03
  0.37000000E+00  0.35146692E+04  0.22493992E+03
  0.38000000E+00  0.35176834E+04  0.23094268E+03
  0.39000000E+00  0.35208391E+04  0.23689478E+03
  0.40000000E+00  0.35241408E+04  0.24279231E+03
  0.41000000E+00  0.35275905E+04  0.24863159E+03
  0.42000000E+00  0.35311884E+04  0.25440973E+03
  0.43000000E+00  0.35349327E+04  0.26012515E+03
  0.44000000E+00  0.35388206E+04  0.26577791E+03
  0.45000000E+00  0.35428486E+04  0.27137002E+03
  0.46000000E+00  0.35470129E+04  0.27690547E+03
  0.47000000E+00  0.35513098E+04  0.28239025E+03
  0.48000000E+00  0.35557360E+04  0.28783214E+03
  0.49000000E+00  0.35602887E+04  0.29324051E+03
  0.50000000E+00  0.35649659E+04  0.29862594E+03
  0.51000000E+00  0.35697665E+04  0.30399988E+03
  0.52000000E+00  0.35746900E+04  0.30937419E+03
  0.53000000E+00  0.35797372E+04  0.31476080E+03
  0.54000000E+00  0.35849092E+04  0.32017128E+03
  0.55000000E+00  0.35902079E+04  0.32561654E+03
  0.56000000E+00  0.35956355E+04  0.33110653E+03
  0.57000000E+00  0.36011945E+04  0.33665003E+03
  0.58000000E+00  0.36068873E+04  0.34225456E+03
  0.59000000E+00  0.36127159E+04  0.34792628E+03
  0.60000000E+00  0.36186819E+04  0.35367006E+03
  0.61000000E+00  0.36247860E+04  0.35948955E+03
  0.62000000E+00  0.36310279E+04  0.36538737E+03
  0.63000000E+00  0.36374059E+04  0.37136531E+03
  0.64000000E+00  0.36439171E+04  0.37742455E+03
  0.65000000E+00  0.36505565E+04  0.38356598E+03
  0.66000000E+00  0.36573177E+04  0.38979040E+03
  0.67000000E+00  0.36641921E+04  0.39609877E+03
  0.68000000E+00  0.36711692E+04  0.40249241E+03
  0.69000000E+00  0.36782366E+04  0.40897312E+03
  0.70000000E+00  0.36853798E+04  0.41554331E+03
  0.71000000E+00  0.36925824E+04  0.42220593E+03
  0.72000000E+00  0.36998265E+04  0.42896447E+03
  0.73000000E+00  0.37070925E+04  0.43582278E+03
  0.74000000E+00  0.37143594E+04  0.44278482E+03
  0.75000000E+00  0.37216055E+04  0.44985438E+03
  0.76000000E+00  0.37288082E+04  0.45703471E+03
  0.77000000E+00  0.37359448E+04  0.46432810E+03
  0.78000000E+00  0.37429927E+04  0.47173540E+03
  0.79000000E+00  0.37499297E+04  0.47925564E+03
  0.80000000E+00  0.37567350E+04  0.48688557E+03
  0.81000000E+00  0.37633888E+04  0.49461937E+03
  0.82000000E+00  0.37698736E+04  0.50244837E+03
  0.83000000E+00  0.37761738E+04  0.51036101E+03
  0.84000000E+00  0.37822769E+04  0.51834288E+03
  0.85000000E+00  0.37881730E+04  0.52637701E+03
  0.86000000E+00  0.37938557E+04  0.53444426E+03
  0.87000000E+00  0.37993222E+04  0.54252388E+03
  0.88000000E+00  0.38045733E+04  0.55059417E+03
  0.89000000E+00  0.38096137E+04  0.55863321E+03
  0.90000000E+00  0.38144519E+04  0.56661959E+03
  0.91000000E+00  0.38191008E+04  0.57453318E+03
  0.92000000E+00  0.38235787E+04  0.58235578E+03
  0.93000000E+00  0.38279116E+04  0.59007184E+03
  0.94000000E+00  0.38321398E+04  0.59766918E+03
  0.95000000E+00  0.38363311E+04  0.60513991E+03
  0.96000000E+00  0.38406039E+04  0.61248187E+03
  0.97000000E+00  0.38451584E+04  0.61970117E+03
  0.98000000E+00  0.38503049E+04  0.62681672E+03
  0.99000000E+00  0.38564606E+04  0.63386878E+03
  0.10000000E+01  0.38640788E+04  0.64093408E+03
  0.10100000E+01  0.38734848E+04  0.64815137E+03
  0.10200000E+01  0.38846438E+04  0.65575832E+03
  0.10300000E+01  0.38969581E+04  0.66412542E+03
  0.10400000E+01  0.39092371E+04  0.67372685E+03
  0.10500000E+01  0.39199413E+04  0.68492515E+03
