  0.00000000E+00  0.88255714E-04 -0.66221080E-13
  0.10000000E-01  0.88241102E-04  0.51620169E-06
  0.20000000E-01  0.88197219E-04  0.10318919E-05
  0.30000000E-01  0.88123937E-04  0.15465513E-05
  0.40000000E-01  0.88021052E-04  0.20596436E-05
  0.50000000E-01  0.87888314E-04  0.25706033E-05
  0.60000000E-01  0.87725453E-04  0.30788193E-05
  0.70000000E-01  0.87532216E-04  0.35836133E-05
  0.80000000E-01  0.87308407E-04  0.40842157E-05
  0.90000000E-01  0.87053932E-04  0.45797381E-05
  0.10000000E+00  0.86768838E-04  0.50691471E-05
  0.11000000E+00  0.86453353E-04  0.55512451E-05
  0.12000000E+00  0.86107926E-04  0.60246613E-05
  0.13000000E+00  0.85733255E-04  0.64878622E-05
  0.14000000E+00  0.85330306E-04  0.69391827E-05
  0.15000000E+00  0.84900331E-04  0.73768818E-05
  0.16000000E+00  0.84444866E-04  0.77992180E-05
  0.17000000E+00  0.83965727E-04  0.82045392E-05
  0.18000000E+00  0.83464988E-04  0.85913741E-05
  0.19000000E+00  0.82944955E-04  0.89585144E-05
  0.20000000E+00  0.82408129E-04  0.93050776E-05
  0.21000000E+00  0.81857158E-04  0.96305423E-05
  0.22000000E+00  0.81294789E-04  0.99347571E-05
  0.23000000E+00  0.80723811E-04  0.10217925E-04
  0.24000000E+00  0.80147001E-04  0.10480569E-04
  0.25000000E+00  0.79567066E-04  0.10723494E-04
  0.26000000E+00  0.78986592E-04  0.10947739E-04
  0.27000000E+00  0.78407994E-04  0.11154533E-04
  0.28000000E+00  0.77833475E-04  0.11345259E-04
  0.29000000E+00  0.77264992E-04  0.11521416E-04
  0.30000000E+00  0.76704230E-04  0.11684584E-04
  0.31000000E+00  0.76152590E-04  0.11836382E-04
  0.32000000E+00  0.75611177E-04  0.11978434E-04
  0.33000000E+00  0.75080810E-04  0.12112317E-04
  0.34000000E+00  0.74562030E-04  0.12239517E-04
  0.35000000E+00  0.74055124E-04  0.12361376E-04
  0.36000000E+00  0.73560149E-04  0.12479048E-04
  0.37000000E+00  0.73076964E-04  0.12593463E-04
  0.38000000E+00  0.72605271E-04  0.12705293E-04
  0.39000000E+00  0.72144645E-04  0.12814950E-04
  0.40000000E+00  0.71694579E-04  0.12922586E-04
  0.41000000E+00  0.71254519E-04  0.13028117E-04
  0.42000000E+00  0.70823899E-04  0.13131262E-04
  0.43000000E+00  0.70402173E-04  0.13231591E-04
  0.44000000E+00  0.69988846E-04  0.13328577E-04
  0.45000000E+00  0.69583492E-04  0.13421656E-04
  0.46000000E+00  0.69185775E-04  0.13510278E-04
  0.47000000E+00  0.68795461E-04  0.13593957E-04
  0.48000000E+00  0.68412423E-04  0.13672306E-04
  0.49000000E+00  0.68036648E-04  0.13745068E-04
  0.50000000E+00  0.67668227E-04  0.13812135E-04
  0.51000000E+00  0.67307352E-04  0.13873553E-04
  0.52000000E+00  0.66954309E-04  0.13929527E-04
  0.53000000E+00  0.66609455E-04  0.13980408E-04
  0.54000000E+00  0.66273214E-04  0.14026683E-04
  0.55000000E+00  0.65946049E-04  0.14068953E-04
  0.56000000E+00  0.65628455E-04  0.14107905E-04
  0.57000000E+00  0.65320931E-04  0.14144292E-04
  0.58000000E+00  0.65023974E-04  0.14178896E-04
  0.59000000E+00  0.64738052E-04  0.14212506E-04
  0.60000000E+00  0.64463599E-04  0.14245884E-04
  0.61000000E+00  0.64200999E-04  0.14279740E-04
  0.62000000E+00  0.63950574E-04  0.14314718E-04
  0.63000000E+00  0.63712581E-04  0.14351374E-04
  0.64000000E+00  0.63487205E-04  0.14390170E-04
  0.65000000E+00  0.63274556E-04  0.14431476E-04
  0.66000000E+00  0.63074674E-04  0.14475568E-04
  0.67000000E+00  0.62887525E-04  0.14522645E-04
  0.68000000E+00  0.62713015E-04  0.14572837E-04
  0.69000000E+00  0.62550989E-04  0.14626223E-04
  0.70000000E+00  0.62401248E-04  0.14682848E-04
  0.71000000E+00  0.62263556E-04  0.14742734E-04
  0.72000000E+00  0.62137653E-04  0.14805895E-04
  0.73000000E+00  0.62023269E-04  0.14872344E-04
  0.74000000E+00  0.61920137E-04  0.14942104E-04
  0.75000000E+00  0.61828006E-04  0.15015203E-04
  0.76000000E+00  0.61746655E-04  0.15091678E-04
  0.77000000E+00  0.61675904E-04  0.15171571E-04
  0.78000000E+00  0.61615627E-04  0.15254928E-04
  0.79000000E+00  0.61565758E-04  0.15341792E-04
  0.80000000E+00  0.61526299E-04  0.15432201E-04
  0.81000000E+00  0.61497325E-04  0.15526194E-04
  0.82000000E+00  0.61478982E-04  0.15623809E-04
  0.83000000E+00  0.61471486E-04  0.15725092E-04
  0.84000000E+00  0.61475116E-04  0.15830116E-04
  0.85000000E+00  0.61490202E-04  0.15938993E-04
  0.86000000E+00  0.61517111E-04  0.16051894E-04
  0.87000000E+00  0.61556229E-04  0.16169077E-04
  0.88000000E+00  0.61607939E-04  0.16290899E-04
  0.89000000E+00  0.61672596E-04  0.16417843E-04
  0.90000000E+00  0.61750496E-04  0.16550525E-04
  0.91000000E+00  0.61841809E-04  0.16689699E-04
  0.92000000E+00  0.61946426E-04  0.16836247E-04
  0.93000000E+00  0.62063552E-04  0.16991151E-04
  0.94000000E+00  0.62190761E-04  0.17155435E-04
  0.95000000E+00  0.62322039E-04  0.17330057E-04
  0.96000000E+00  0.62444406E-04  0.17515700E-04
  0.97000000E+00  0.62533278E-04  0.17712400E-04
  0.98000000E+00  0.62548278E-04  0.17918854E-04
  0.99000000E+00  0.62433453E-04  0.18131157E-04
  0.10000000E+01  0.62127343E-04  0.18340565E-04
  0.10100000E+01  0.61586496E-04  0.18529743E-04
  0.10200000E+01  0.60818816E-04  0.18667370E-04
  0.10300000E+01  0.59912650E-04  0.18703157E-04
  0.10400000E+01  0.59040867E-04  0.18572028E-04
  0.10500000E+01  0.58425117E-04  0.18225330E-04
  0.10600000E+01  0.58265601E-04  0.17694217E-04
  0.10700000E+01  0.58665320E-04  0.17124458E-04
  0.10800000E+01  0.59587243E-04  0.16698161E-04
  0.10900000E+01  0.60867968E-04  0.16510490E-04
  0.11000000E+01  0.62280384E-04  0.16546341E-04
  0.11100000E+01  0.63611984E-04  0.16740541E-04
  0.11200000E+01  0.64721806E-04  0.17029371E-04
  0.11300000E+01  0.65556752E-04  0.17367908E-04
  0.11400000E+01  0.66129314E-04  0.17729078E-04
  0.11500000E+01  0.66483331E-04  0.18095585E-04
  0.11600000E+01  0.66704051E-04  0.18451994E-04
  0.11700000E+01  0.66854813E-04  0.18812383E-04
  0.11800000E+01  0.66929725E-04  0.19172525E-04
  0.11900000E+01  0.66946296E-04  0.19520722E-04
  0.12000000E+01  0.66923139E-04  0.19851750E-04
  0.12100000E+01  0.66868247E-04  0.20162810E-04
  0.12200000E+01  0.66787794E-04  0.20453198E-04
  0.12300000E+01  0.66688539E-04  0.20723994E-04
  0.12400000E+01  0.66578029E-04  0.20977407E-04
  0.12500000E+01  0.66464177E-04  0.21216077E-04
  0.12600000E+01  0.66354620E-04  0.21442609E-04
  0.12700000E+01  0.66256080E-04  0.21659346E-04
  0.12800000E+01  0.66173845E-04  0.21868302E-04
  0.12900000E+01  0.66111432E-04  0.22071162E-04
  0.13000000E+01  0.66070424E-04  0.22269306E-04
  0.13100000E+01  0.66050557E-04  0.22463857E-04
  0.13200000E+01  0.66050271E-04  0.22655705E-04
  0.13300000E+01  0.66067881E-04  0.22845481E-04
  0.13400000E+01  0.66102908E-04  0.23033497E-04
  0.13500000E+01  0.66156193E-04  0.23220071E-04
  0.13600000E+01  0.66227688E-04  0.23406833E-04
  0.13700000E+01  0.66313163E-04  0.23597153E-04
  0.13800000E+01  0.66403572E-04  0.23793162E-04
  0.13900000E+01  0.66489211E-04  0.23991537E-04
  0.14000000E+01  0.66565319E-04  0.24177329E-04
  0.14100000E+01  0.66765598E-04  0.24199768E-04
  0.14200000E+01  0.66697372E-04  0.24718407E-04
