  0.00000000E+00  0.36998839E+04 -0.33187696E-12
  0.10000000E-01  0.36994947E+04  0.96038030E+01
  0.20000000E-01  0.36983571E+04  0.19082666E+02
  0.30000000E-01  0.36965572E+04  0.28332328E+02
  0.40000000E-01  0.36942287E+04  0.37286039E+02
  0.50000000E-01  0.36915389E+04  0.45923658E+02
  0.60000000E-01  0.36886718E+04  0.54270697E+02
  0.70000000E-01  0.36858113E+04  0.62388395E+02
  0.80000000E-01  0.36831240E+04  0.70358848E+02
  0.90000000E-01  0.36807466E+04  0.78269829E+02
  0.10000000E+00  0.36787764E+04  0.86202494E+02
  0.11000000E+00  0.36772673E+04  0.94223124E+02
  0.12000000E+00  0.36762298E+04  0.10237865E+03
  0.13000000E+00  0.36756352E+04  0.11069510E+03
  0.14000000E+00  0.36754236E+04  0.11917809E+03
  0.15000000E+00  0.36755123E+04  0.12781482E+03
  0.16000000E+00  0.36758062E+04  0.13657702E+03
  0.17000000E+00  0.36762064E+04  0.14542468E+03
  0.18000000E+00  0.36766190E+04  0.15431019E+03
  0.19000000E+00  0.36769606E+04  0.16318263E+03
  0.20000000E+00  0.36771632E+04  0.17199186E+03
  0.21000000E+00  0.36771763E+04  0.18069205E+03
  0.22000000E+00  0.36769679E+04  0.18924441E+03
  0.23000000E+00  0.36765237E+04  0.19761890E+03
  0.24000000E+00  0.36758455E+04  0.20579498E+03
  0.25000000E+00  0.36749489E+04  0.21376144E+03
  0.26000000E+00  0.36738610E+04  0.22151553E+03
  0.27000000E+00  0.36726173E+04  0.22906154E+03
  0.28000000E+00  0.36712591E+04  0.23640921E+03
  0.29000000E+00  0.36698312E+04  0.24357201E+03
  0.30000000E+00  0.36683797E+04  0.25056555E+03
  0.31000000E+00  0.36669499E+04  0.25740615E+03
  0.32000000E+00  0.36655851E+04  0.26410970E+03
  0.33000000E+00  0.36643251E+04  0.27069080E+03
  0.34000000E+00  0.36632054E+04  0.27716216E+03
  0.35000000E+00  0.36622566E+04  0.28353425E+03
  0.36000000E+00  0.36615042E+04  0.28981529E+03
  0.37000000E+00  0.36609680E+04  0.29601133E+03
  0.38000000E+00  0.36606627E+04  0.30212658E+03
  0.39000000E+00  0.36605981E+04  0.30816386E+03
  0.40000000E+00  0.36607790E+04  0.31412508E+03
  0.41000000E+00  0.36612065E+04  0.32001183E+03
  0.42000000E+00  0.36618776E+04  0.32582589E+03
  0.43000000E+00  0.36627869E+04  0.33156968E+03
  0.44000000E+00  0.36639260E+04  0.33724668E+03
  0.45000000E+00  0.36652852E+04  0.34286167E+03
  0.46000000E+00  0.36668533E+04  0.34842087E+03
  0.47000000E+00  0.36686184E+04  0.35393198E+03
  0.48000000E+00  0.36705682E+04  0.35940407E+03
  0.49000000E+00  0.36726906E+04  0.36484742E+03
  0.50000000E+00  0.36749738E+04  0.37027322E+03
  0.51000000E+00  0.36774064E+04  0.37569329E+03
  0.52000000E+00  0.36799779E+04  0.38111971E+03
  0.53000000E+00  0.36826786E+04  0.38656443E+03
  0.54000000E+00  0.36854993E+04  0.39203899E+03
  0.55000000E+00  0.36884321E+04  0.39755409E+03
  0.56000000E+00  0.36914694E+04  0.40311937E+03
  0.57000000E+00  0.36946045E+04  0.40874308E+03
  0.58000000E+00  0.36978312E+04  0.41443197E+03
  0.59000000E+00  0.37011438E+04  0.42019107E+03
